CHROM	POS	WEIR_AND_COCKERHAM_FST	locus.length	pop0.samples	pop1.samples
dDocent_Contig_10303	23	0.00836652	190	21	29
dDocent_Contig_1031	126	0.00379749	190	16	18
dDocent_Contig_10315	10	0.328319	190	14	21
dDocent_Contig_10323	8	0.0221857	190	7	2
dDocent_Contig_1033	10	0	190	8	17
dDocent_Contig_10339	22	0.00784133	190	8	9
dDocent_Contig_10340	10	0.0326635	190	8	13
dDocent_Contig_10346	56	0.144784	190	21	29
dDocent_Contig_10352	11	0	190	19	21
dDocent_Contig_10362	140	0.386783	190	9	13
dDocent_Contig_10365	9	0	190	10	22
dDocent_Contig_1037	13	0.0295944	190	8	16
dDocent_Contig_10372	15	0.303136	190	10	20
dDocent_Contig_10373	183	0.0428604	190	14	8
dDocent_Contig_10374	55	0.447962	190	11	10
dDocent_Contig_10379	8	0.13652	190	18	25
dDocent_Contig_1038	21	-0.0664678	190	8	13
dDocent_Contig_10382	40	0.0215085	190	21	29
dDocent_Contig_10387	13	0.0730755	190	17	20
dDocent_Contig_10389	24	0.0169164	190	9	12
dDocent_Contig_104	50	-0.0194047	190	21	29
dDocent_Contig_10400	45	0.0522572	190	18	22
dDocent_Contig_10401	141	-0.0640732	190	5	3
dDocent_Contig_10407	15	-0.00799077	190	21	29
dDocent_Contig_10409	17	0.0418564	190	7	12
dDocent_Contig_10410	129	0.22937	190	11	22
dDocent_Contig_10413	74	0	190	18	14
dDocent_Contig_10415	112	-1	190	1	8
dDocent_Contig_10416	48	0	190	8	8
dDocent_Contig_10422	18	0	190	12	15
dDocent_Contig_10424	69	0.398367	190	4	14
dDocent_Contig_1043	31	0.069981	190	20	28
dDocent_Contig_10431	180	0.0362563	190	14	23
dDocent_Contig_10432	68	0	190	11	13
dDocent_Contig_10435	18	0	190	19	26
dDocent_Contig_1044	58	0.201883	190	21	28
dDocent_Contig_10441	58	0.0380411	190	10	20
dDocent_Contig_10445	66	0	190	5	2
dDocent_Contig_10450	33	0.172659	190	21	29
dDocent_Contig_10452	12	-0.0486686	190	13	21
dDocent_Contig_10453	43	0.0271196	190	8	12
dDocent_Contig_10454	31	0.291672	190	16	27
dDocent_Contig_10460	137	0.218509	190	2	8
dDocent_Contig_10461	20	-0.0762903	190	8	12
dDocent_Contig_10463	44	-0.0187623	190	21	29
dDocent_Contig_10473	37	0	190	8	10
dDocent_Contig_1048	34	0.560096	190	21	29
dDocent_Contig_10480	23	0.410978	190	18	27
dDocent_Contig_10484	128	-0.0274914	190	13	13
dDocent_Contig_10486	23	-0.0235192	190	21	29
dDocent_Contig_10489	145	0.0897432	190	11	19
dDocent_Contig_10490	12	0.0337362	190	17	18
dDocent_Contig_10494	116	0.319776	190	21	29
dDocent_Contig_10497	121	0	190	6	11
dDocent_Contig_105	106	0.104471	190	13	10
dDocent_Contig_10500	120	0	190	7	2
dDocent_Contig_10501	72	-0.14	190	6	2
dDocent_Contig_10502	46	-0.00910667	190	21	29
dDocent_Contig_10504	25	-0.022366	190	18	26
dDocent_Contig_10506	45	0.0389519	190	13	24
dDocent_Contig_10508	42	0.0370578	190	5	7
dDocent_Contig_10512	172	0.4	190	5	5
dDocent_Contig_10522	32	0.231685	190	21	29
dDocent_Contig_10523	16	0.0165138	190	15	10
dDocent_Contig_10525	50	0.00827018	190	18	24
dDocent_Contig_1053	24	-0.0345002	190	8	13
dDocent_Contig_10531	179	0.097047	190	12	13
dDocent_Contig_10535	54	0.171952	190	9	14
dDocent_Contig_10542	20	0.00987235	190	21	29
dDocent_Contig_10544	34	0	190	8	16
dDocent_Contig_10545	9	0.00706714	190	21	28
dDocent_Contig_10548	15	0.165833	190	19	15
dDocent_Contig_10550	135	-0.0200221	190	20	29
dDocent_Contig_10551	45	-0.0551732	190	8	15
dDocent_Contig_10555	65	0.106721	190	21	29
dDocent_Contig_10557	51	0.0372286	190	12	13
dDocent_Contig_10559	123	0.412107	190	8	13
dDocent_Contig_1056	23	0.0102633	190	18	22
dDocent_Contig_10563	177	0.275909	190	21	29
dDocent_Contig_10566	9	0.0305621	190	12	14
dDocent_Contig_10568	11	0	190	2	11
dDocent_Contig_10573	34	0.424105	190	21	29
dDocent_Contig_10574	44	0.0808376	190	11	17
dDocent_Contig_10575	12	-0.0537835	190	8	11
dDocent_Contig_10576	54	0.176916	190	6	5
dDocent_Contig_10584	17	0.255677	190	20	27
dDocent_Contig_10585	33	0.484051	190	9	26
dDocent_Contig_10586	45	0.0204082	190	8	7
dDocent_Contig_10587	48	0.0160356	190	16	26
dDocent_Contig_10590	30	0	190	8	11
dDocent_Contig_10591	33	0.0409987	190	20	29
dDocent_Contig_10592	8	-0.00872996	190	21	29
dDocent_Contig_10597	39	0.00285752	190	21	29
dDocent_Contig_10598	17	0.360804	190	21	29
dDocent_Contig_10599	9	0	190	16	28
dDocent_Contig_10601	51	0.1733	190	15	16
dDocent_Contig_10604	30	0.133333	190	14	7
dDocent_Contig_1061	8	0	190	9	19
dDocent_Contig_10610	110	0.578947	190	4	3
dDocent_Contig_10611	60	0.0212115	190	8	11
dDocent_Contig_10614	9	-0.00171053	190	21	29
dDocent_Contig_10616	8	0	190	7	12
dDocent_Contig_10617	42	1	190	6	1
dDocent_Contig_10618	62	0.147072	190	18	22
dDocent_Contig_10624	81	0.145096	190	11	18
dDocent_Contig_10625	183	-0.0157774	190	11	19
dDocent_Contig_10628	47	0	190	11	17
dDocent_Contig_10629	22	-0.0109224	190	21	29
dDocent_Contig_1063	16	0.0624926	190	11	10
dDocent_Contig_10637	127	0.435144	190	21	29
dDocent_Contig_10639	21	0.0567626	190	21	29
dDocent_Contig_10641	124	0.179177	190	7	16
dDocent_Contig_10644	14	-0.0125074	190	21	29
dDocent_Contig_10657	9	0.16676	190	21	29
dDocent_Contig_10667	104	0.064494	190	21	29
dDocent_Contig_10668	23	0.0256162	190	21	29
dDocent_Contig_10670	109	0	190	10	11
dDocent_Contig_10678	43	-0.0497908	190	4	7
dDocent_Contig_10680	23	0.245486	190	14	24
dDocent_Contig_10681	115	0.353289	190	6	9
dDocent_Contig_10682	24	0.556754	190	8	9
dDocent_Contig_10683	106	0.146358	190	21	29
dDocent_Contig_10685	58	0.230879	190	7	6
dDocent_Contig_10687	30	0.193526	190	21	29
dDocent_Contig_10688	174	0	190	5	11
dDocent_Contig_10689	144	-0.00449914	190	21	29
dDocent_Contig_10691	12	0.155606	190	8	9
dDocent_Contig_10692	32	0.0612333	190	11	13
dDocent_Contig_10693	141	0.00799233	190	21	29
dDocent_Contig_10695	43	-0.00365286	190	21	29
dDocent_Contig_10698	54	0.0388696	190	21	27
dDocent_Contig_107	24	-0.00163804	190	18	17
dDocent_Contig_1070	15	0.154362	190	19	25
dDocent_Contig_10700	24	0.235427	190	16	24
dDocent_Contig_10701	103	-0.0399593	190	7	17
dDocent_Contig_10702	23	0	190	7	10
dDocent_Contig_1071	117	0.00610723	190	21	29
dDocent_Contig_10710	61	0	190	21	29
dDocent_Contig_10712	177	0.093402	190	9	13
dDocent_Contig_10713	44	0	190	10	19
dDocent_Contig_10715	11	0	190	19	26
dDocent_Contig_10716	32	0.0733002	190	21	29
dDocent_Contig_10720	32	0.341942	190	10	16
dDocent_Contig_10722	33	0.114361	190	21	29
dDocent_Contig_1073	11	0.180249	190	15	9
dDocent_Contig_10730	56	0.25522	190	13	21
dDocent_Contig_10737	166	-0.0147066	190	21	29
dDocent_Contig_10743	22	-0.0041841	190	16	15
dDocent_Contig_10744	54	-0.0120217	190	10	8
dDocent_Contig_10745	113	1.20E-16	190	6	6
dDocent_Contig_10746	73	0.00445205	190	9	17
dDocent_Contig_10748	130	0	190	5	6
dDocent_Contig_10750	49	0	190	9	18
dDocent_Contig_10753	178	0.00871931	190	20	28
dDocent_Contig_1076	14	0	190	18	16
dDocent_Contig_10761	23	-0.00146523	190	19	18
dDocent_Contig_10763	20	0.0567626	190	21	29
dDocent_Contig_10765	53	0.0334886	190	20	25
dDocent_Contig_10767	140	0.00195498	190	16	17
dDocent_Contig_10770	44	0.144999	190	8	10
dDocent_Contig_10772	16	0.00795021	190	21	29
dDocent_Contig_10773	48	0.0950239	190	13	18
dDocent_Contig_10775	16	-0.0257447	190	8	17
dDocent_Contig_10776	102	0.135617	190	13	10
dDocent_Contig_10778	40	0.0698103	190	18	22
dDocent_Contig_10779	18	-0.0089015	190	8	11
dDocent_Contig_10783	11	-0.00367811	190	21	29
dDocent_Contig_10787	41	0.488554	190	21	29
dDocent_Contig_1079	27	-0.0262046	190	21	29
dDocent_Contig_10791	13	0	190	20	29
dDocent_Contig_10792	73	-0.00607698	190	5	10
dDocent_Contig_10793	29	-0.0344671	190	12	17
dDocent_Contig_10795	141	0.390705	190	14	5
dDocent_Contig_10798	13	0.0250142	190	12	21
dDocent_Contig_108	40	0.107207	190	11	12
dDocent_Contig_1080	23	0.0349518	190	10	19
dDocent_Contig_10800	83	0.16676	190	21	29
dDocent_Contig_10802	152	-0.00756364	190	21	29
dDocent_Contig_10812	53	0.0559222	190	9	18
dDocent_Contig_10816	16	0.121468	190	7	4
dDocent_Contig_10817	28	0.2419	190	21	29
dDocent_Contig_10818	22	0.239121	190	21	29
dDocent_Contig_10819	65	0.424344	190	9	13
dDocent_Contig_10820	26	0.202647	190	12	27
dDocent_Contig_10823	55	0.375465	190	4	14
dDocent_Contig_10825	27	0	190	13	18
dDocent_Contig_1083	8	-0.00313247	190	19	26
dDocent_Contig_10830	25	7.81E-17	190	5	1
dDocent_Contig_10831	52	0.128265	190	15	16
dDocent_Contig_10833	71	0	190	8	18
dDocent_Contig_10838	14	0.28173	190	8	11
dDocent_Contig_1084	52	0.212713	190	21	29
dDocent_Contig_10840	10	-0.0212007	190	20	27
dDocent_Contig_10841	68	0.0751675	190	10	13
dDocent_Contig_10842	79	0.270674	190	15	28
dDocent_Contig_10853	100	0.548821	190	21	29
dDocent_Contig_10854	73	-0.00681643	190	19	27
dDocent_Contig_10859	15	0.0522088	190	9	4
dDocent_Contig_1086	21	0.142845	190	21	29
dDocent_Contig_10861	81	0.215729	190	21	29
dDocent_Contig_10863	59	-0.0397878	190	4	6
dDocent_Contig_10873	8	-0.00989347	190	15	23
dDocent_Contig_10875	103	0	190	14	23
dDocent_Contig_10878	18	0.154494	190	7	3
dDocent_Contig_10879	40	0.0125392	190	18	15
dDocent_Contig_10881	55	-0.00513204	190	21	29
dDocent_Contig_10885	8	0.14572	190	15	27
dDocent_Contig_10889	179	0.105058	190	4	12
dDocent_Contig_1089	10	0	190	9	18
dDocent_Contig_10890	32	-0.107143	190	5	1
dDocent_Contig_10891	28	0.128338	190	21	29
dDocent_Contig_10894	21	0.0349891	190	21	29
dDocent_Contig_10897	39	0.00783894	190	21	29
dDocent_Contig_10899	120	0.0524508	190	18	26
dDocent_Contig_1090	15	0.133333	190	6	6
dDocent_Contig_10901	11	0.458495	190	8	18
dDocent_Contig_10904	133	0	190	14	25
dDocent_Contig_10905	31	0.322876	190	12	7
dDocent_Contig_10906	99	-0.00828226	190	21	29
dDocent_Contig_10907	68	-0.0107155	190	16	28
dDocent_Contig_10908	175	0.00449445	190	21	29
dDocent_Contig_1091	43	0.24821	190	9	15
dDocent_Contig_10910	40	0	190	20	28
dDocent_Contig_10911	10	-0.018764	190	9	15
dDocent_Contig_10914	29	0	190	19	18
dDocent_Contig_10915	14	0	190	15	24
dDocent_Contig_10919	16	-0.00805187	190	12	10
dDocent_Contig_10926	48	0.00628886	190	15	18
dDocent_Contig_10929	151	0.232896	190	21	29
dDocent_Contig_1093	19	0	190	8	28
dDocent_Contig_10934	32	0	190	16	22
dDocent_Contig_10938	16	-0.0552764	190	7	5
dDocent_Contig_10939	55	0.113781	190	13	9
dDocent_Contig_1094	27	0.31185	190	11	12
dDocent_Contig_10940	38	0.372549	190	4	16
dDocent_Contig_10943	20	-0.00579701	190	21	29
dDocent_Contig_10948	51	0.072403	190	19	26
dDocent_Contig_10949	48	0.067829	190	19	24
dDocent_Contig_10953	30	-0.00504372	190	19	24
dDocent_Contig_10955	24	0.329618	190	21	29
dDocent_Contig_10956	32	-0.00671695	190	20	29
dDocent_Contig_10962	57	0	190	19	25
dDocent_Contig_10969	170	0.0640259	190	17	21
dDocent_Contig_1097	23	0.049505	190	16	10
dDocent_Contig_10970	12	0.00437535	190	21	29
dDocent_Contig_10975	80	0.051758	190	21	29
dDocent_Contig_10976	146	-0.00833382	190	9	11
dDocent_Contig_10977	33	0.0348678	190	7	11
dDocent_Contig_10979	18	0.0332326	190	20	24
dDocent_Contig_1098	76	0.0270508	190	14	28
dDocent_Contig_10982	167	-0.121495	190	4	10
dDocent_Contig_10984	29	-0.0452476	190	14	10
dDocent_Contig_10989	81	0.0392791	190	18	22
dDocent_Contig_10993	111	-0.00560307	190	10	9
dDocent_Contig_10994	38	0.114361	190	21	29
dDocent_Contig_10995	31	0.538462	190	6	2
dDocent_Contig_10998	68	0.0100091	190	8	14
dDocent_Contig_11	12	-0.012982	190	21	26
dDocent_Contig_11003	158	-0.000313792	190	8	15
dDocent_Contig_11007	33	0.258478	190	9	18
dDocent_Contig_11008	40	0	190	13	21
dDocent_Contig_11017	27	0.156177	190	5	7
dDocent_Contig_11018	30	0.0370368	190	21	29
dDocent_Contig_11021	66	0.24831	190	21	29
dDocent_Contig_11025	78	0.0395028	190	20	28
dDocent_Contig_11027	16	-0.000740236	190	21	29
dDocent_Contig_11028	107	0.0379002	190	13	19
dDocent_Contig_1103	22	0.0867257	190	10	15
dDocent_Contig_11034	10	-0.142631	190	7	2
dDocent_Contig_11035	72	0.0330965	190	21	29
dDocent_Contig_11036	15	0.0975062	190	10	17
dDocent_Contig_11039	24	0.0370274	190	21	29
dDocent_Contig_1104	19	0.00455641	190	18	27
dDocent_Contig_11040	13	0.0508284	190	18	29
dDocent_Contig_11042	76	0.167542	190	8	10
dDocent_Contig_11045	51	0.661622	190	10	3
dDocent_Contig_11048	22	-0.027284	190	7	5
dDocent_Contig_11049	22	-0.00453416	190	21	29
dDocent_Contig_1105	9	0.125557	190	13	22
dDocent_Contig_11050	14	0.0776847	190	14	14
dDocent_Contig_11052	125	0.0181917	190	21	29
dDocent_Contig_11055	39	0	190	7	2
dDocent_Contig_11056	99	0.0807143	190	21	29
dDocent_Contig_11057	36	0	190	9	16
dDocent_Contig_11059	33	-0.0117768	190	21	29
dDocent_Contig_1106	25	0	190	11	13
dDocent_Contig_11061	24	0.0370274	190	21	29
dDocent_Contig_11062	59	0	190	6	6
dDocent_Contig_11063	143	-0.242424	190	7	1
dDocent_Contig_11064	61	0	190	16	18
dDocent_Contig_11065	57	-0.0184607	190	21	29
dDocent_Contig_11067	50	0.432082	190	21	29
dDocent_Contig_11072	114	-0.0248291	190	8	16
dDocent_Contig_11079	13	-0.00932989	190	8	18
dDocent_Contig_11081	32	0.223367	190	17	24
dDocent_Contig_11082	9	0.138721	190	7	17
dDocent_Contig_11086	103	0	190	9	20
dDocent_Contig_1109	113	-0.103702	190	5	9
dDocent_Contig_11092	27	-0.00596187	190	17	14
dDocent_Contig_11094	65	0	190	5	18
dDocent_Contig_11099	43	0.00854851	190	19	26
dDocent_Contig_111	72	0.0103171	190	19	23
dDocent_Contig_11103	35	-0.0412574	190	5	10
dDocent_Contig_11109	10	0.120526	190	8	13
dDocent_Contig_11111	11	0.342895	190	21	29
dDocent_Contig_11116	181	0.19071	190	21	29
dDocent_Contig_11117	49	0.108108	190	6	11
dDocent_Contig_1112	52	0.00833475	190	13	17
dDocent_Contig_11123	62	0.0349518	190	10	19
dDocent_Contig_11127	13	0	190	19	21
dDocent_Contig_1113	14	0.0443715	190	16	22
dDocent_Contig_11130	69	0.0794224	190	12	20
dDocent_Contig_11132	11	0.0736928	190	16	28
dDocent_Contig_11135	107	-0.0427826	190	12	11
dDocent_Contig_11138	63	-0.0461957	190	7	11
dDocent_Contig_11146	39	0.119275	190	21	29
dDocent_Contig_1115	69	0.00743025	190	19	29
dDocent_Contig_11150	24	-0.0145431	190	6	13
dDocent_Contig_11151	13	0.109526	190	13	23
dDocent_Contig_11152	41	-0.090303	190	8	13
dDocent_Contig_11154	30	0	190	6	3
dDocent_Contig_11165	74	0	190	13	19
dDocent_Contig_11166	13	0.366906	190	8	4
dDocent_Contig_11167	131	0.0241665	190	20	29
dDocent_Contig_11170	39	0.9537	190	8	15
dDocent_Contig_11171	60	0.0183184	190	20	23
dDocent_Contig_11172	153	0.0297644	190	3	20
dDocent_Contig_11178	30	0.0505754	190	9	2
dDocent_Contig_11181	33	0.0133272	190	14	20
dDocent_Contig_11182	79	0.0167487	190	21	29
dDocent_Contig_11183	12	-0.00579701	190	21	29
dDocent_Contig_11184	36	-0.0224453	190	14	26
dDocent_Contig_11187	31	-0.0131042	190	21	29
dDocent_Contig_11191	9	0.00610286	190	21	29
dDocent_Contig_11197	42	0	190	11	18
dDocent_Contig_11198	33	0.010133	190	21	29
dDocent_Contig_11202	110	-0.00299028	190	15	25
dDocent_Contig_11203	35	0	190	5	15
dDocent_Contig_11207	38	0.438758	190	5	6
dDocent_Contig_11209	22	0.0897916	190	16	23
dDocent_Contig_11210	20	0.164565	190	10	18
dDocent_Contig_11215	55	0	190	15	24
dDocent_Contig_11216	47	0.0109201	190	21	29
dDocent_Contig_11221	49	0.0743802	190	4	8
dDocent_Contig_11224	53	-0.0388986	190	15	11
dDocent_Contig_11225	15	0.0617649	190	19	28
dDocent_Contig_11226	23	-0.00208304	190	21	29
dDocent_Contig_11228	133	0.254658	190	8	15
dDocent_Contig_11229	132	0.255628	190	7	26
dDocent_Contig_11235	128	-0.0890585	190	12	3
dDocent_Contig_11236	16	0.0288511	190	15	13
dDocent_Contig_11237	106	0.147296	190	21	29
dDocent_Contig_11240	34	0.335187	190	5	11
dDocent_Contig_11241	112	-0.0391052	190	6	17
dDocent_Contig_11243	56	0.0380411	190	10	20
dDocent_Contig_11246	141	-0.00135345	190	21	29
dDocent_Contig_11250	15	0.322503	190	20	28
dDocent_Contig_11256	172	0.275591	190	3	12
dDocent_Contig_1126	18	0.649544	190	4	8
dDocent_Contig_11262	10	0.199751	190	13	20
dDocent_Contig_11264	56	-3.90E-18	190	9	9
dDocent_Contig_11266	8	0.063252	190	15	25
dDocent_Contig_11267	12	0.161388	190	10	12
dDocent_Contig_1128	72	0	190	11	17
dDocent_Contig_11283	55	0.156398	190	11	20
dDocent_Contig_11289	21	0.0187433	190	21	29
dDocent_Contig_11292	55	-0.304348	190	6	2
dDocent_Contig_11294	52	0.00775477	190	20	27
dDocent_Contig_11297	12	0.50048	190	8	6
dDocent_Contig_11298	86	0.00163841	190	21	29
dDocent_Contig_1130	16	0.0532681	190	20	24
dDocent_Contig_11301	23	-0.0118387	190	21	29
dDocent_Contig_11303	16	0	190	14	29
dDocent_Contig_11304	28	0.0380411	190	10	20
dDocent_Contig_11305	126	0	190	8	12
dDocent_Contig_11312	13	0.112299	190	21	29
dDocent_Contig_11314	45	0.145799	190	13	27
dDocent_Contig_1132	59	-0.0181692	190	17	26
dDocent_Contig_11329	85	0.031711	190	21	19
dDocent_Contig_11333	87	0.0618576	190	21	29
dDocent_Contig_11334	69	0.0102529	190	7	8
dDocent_Contig_11335	116	0.35511	190	21	29
dDocent_Contig_11338	15	0	190	12	14
dDocent_Contig_11341	19	-0.078953	190	9	12
dDocent_Contig_11345	10	0.0557819	190	17	15
dDocent_Contig_11347	134	0	190	1	8
dDocent_Contig_11357	101	0.136742	190	9	20
dDocent_Contig_11358	44	0	190	21	28
dDocent_Contig_11369	35	0.0348494	190	20	25
dDocent_Contig_11371	19	-0.045187	190	12	5
dDocent_Contig_11372	8	0.0537634	190	6	4
dDocent_Contig_11373	62	-0.0600913	190	7	6
dDocent_Contig_11377	39	0.0370578	190	5	7
dDocent_Contig_1138	11	0.500885	190	21	29
dDocent_Contig_11380	70	-0.0391441	190	21	29
dDocent_Contig_11383	20	0.112545	190	13	19
dDocent_Contig_11384	125	0	190	20	22
dDocent_Contig_11388	37	0.0102529	190	8	7
dDocent_Contig_11390	83	0.00915147	190	14	22
dDocent_Contig_11391	11	0.0382814	190	19	25
dDocent_Contig_11395	141	-1	190	5	1
dDocent_Contig_11396	36	0	190	17	26
dDocent_Contig_11400	35	-0.0229083	190	21	29
dDocent_Contig_11408	80	0.231885	190	11	19
dDocent_Contig_11415	12	-0.00339597	190	21	29
dDocent_Contig_11418	103	0.0569117	190	8	18
dDocent_Contig_11419	25	0	190	15	25
dDocent_Contig_1142	10	-0.0185017	190	21	29
dDocent_Contig_11422	10	0.667089	190	17	11
dDocent_Contig_11434	10	-0.0531915	190	9	6
dDocent_Contig_11438	25	0.0687773	190	17	19
dDocent_Contig_11440	54	0.0403671	190	21	29
dDocent_Contig_11444	14	0.144999	190	8	10
dDocent_Contig_11446	106	0.58209	190	7	7
dDocent_Contig_1145	23	0.479224	190	14	13
dDocent_Contig_11451	118	0.0886514	190	14	10
dDocent_Contig_11457	19	0.00731707	190	11	11
dDocent_Contig_11459	38	-0.00339597	190	21	29
dDocent_Contig_11460	83	-0.368421	190	6	1
dDocent_Contig_11467	50	0	190	13	22
dDocent_Contig_1147	28	0.0557801	190	11	12
dDocent_Contig_11471	155	0	190	14	23
dDocent_Contig_11473	109	0	190	18	26
dDocent_Contig_11474	19	0.180022	190	21	29
dDocent_Contig_11477	174	0.166667	190	7	7
dDocent_Contig_11479	107	-0.0463334	190	11	7
dDocent_Contig_1148	9	0.141626	190	21	29
