Locus,H,FST,p,quantile
91,0.09813323,0.040641711,0.37743967,0.62256033
92,0.078433782,0.017347258,0.28729596,0.71270404
93,0.055070312,0.046673287,0.22261327,0.22261327
94,0,0,-1,-1
95,0,0,-1,-1
96,0.035391255,-0.024264326,0.042529396,0.9574706
97,0,0,-1,-1
99,0.1328158,-0.037598873,0.007871377,0.99212862
100,0.099610726,0.054871586,0.48773637,0.51226363
101,0.1431875,0.054852321,0.36843564,0.63156436
102,0.021141346,0.006685769,0.45770072,0.45770072
103,0.020140825,0.006991999,0.4461862,0.4461862
104,0.096666667,8.33E-17,0.17455656,0.82544344
105,0.38666667,0.2,0.36017643,0.36017643
106,0.14066272,0.19151943,0.046574159,0.046574159
107,0.3479142,0.25195232,0.25029351,0.25029351
108,0.022872214,-0.01433121,0.12777886,0.87222114
109,0.19333333,-8.33E-17,0.16403411,0.83596589
110,0.033428402,-0.020618557,0.064014126,0.93598587
111,0.73565782,0.78781227,0.037932795,0.037932795
112,0.079271978,-0.045226131,0.002048219,0.99795178
113,0.05336154,-0.009918846,0.14513584,0.85486416
114,0.021199211,-0.013315125,0.14265188,0.85734812
115,0.15388061,0.069948547,0.40516786,0.59483214
116,0.066974749,0.012052171,0.29012946,0.70987054
117,0.25395651,0.3085046,0.073351746,0.073351746
118,0.022269402,0.007370591,0.45101818,0.45101818
119,0.085273299,0.032071438,0.37807872,0.62192128
120,0,0,-1,-1
121,0.55526208,0.27204326,0.42335194,0.42335194
122,0.070351579,-0.023585373,0.047450365,0.95254963
123,0,0,-1,-1
124,0.039677354,0.009554788,0.4965269,0.5034731
125,0.044881336,0.04156936,0.17068437,0.17068437
126,0.042441124,0.035768311,0.19490427,0.19490427
127,0.04049982,0.036430521,0.17565142,0.17565142
128,0.058737185,-0.004889673,0.17115764,0.82884236
130,0.31714553,-0.026226196,0.038902881,0.96109712
131,0.49955177,-0.018525394,0.08963146,0.91036854
132,0.13128249,0.06203435,0.42252752,0.57747248
133,0.019885922,-0.005736636,0.27170825,0.72829175
134,0.48632595,-0.009745567,0.18241543,0.81758457
135,0.49899503,-0.011223777,0.14501166,0.85498834
136,0.019885922,-0.005736636,0.27170825,0.72829175
137,0.40000606,-0.037813348,0.007948066,0.99205193
138,0.05422476,0.031807603,0.35625126,0.35625126
139,0.49273244,-0.020151083,0.087285582,0.91271442
140,0.40134946,0.10884725,0.49663055,0.49663055
141,0.48445374,0.41698578,0.051851006,0.051851006
142,0.53557214,0.48113278,0.050902653,0.050902653
143,0.095859533,0.000730853,0.17845967,0.82154033
144,0.02211843,-0.00855676,0.21484736,0.78515264
145,0.064182692,0.068764045,0.15165262,0.15165262
146,0.50009378,-0.016326277,0.10417439,0.89582561
148,0.098278131,0.053884567,0.4873288,0.5126712
149,0.50375421,0.41700892,0.061256368,0.061256368
150,0.70880564,0.56774574,0.24029914,0.75970086
151,0.05998877,0.009771987,0.28852108,0.71147892
152,0.46422658,0.52693824,0.019920803,0.019920803
153,0.10072673,-0.021929912,0.053939662,0.94606034
154,0,0,-1,-1
155,0.42402142,0.2075993,0.33148428,0.33148428
156,0.21010989,0.12133891,0.45788715,0.45788715
157,0.18783208,0.21916072,0.11734564,0.11734564
158,0.38359397,0.25268203,0.27890293,0.27890293
159,0.49969098,-0.020348202,0.077264395,0.92273561
160,0.022169786,-0.006220483,0.25714455,0.74285545
161,0.23517562,0.092508341,0.46299313,0.53700687
162,0.048496732,0.037735849,0.23301297,0.23301297
163,0.35237682,0.020496195,0.2745615,0.7254385
164,0.24842072,0.040423223,0.32188427,0.67811573
165,0.47033789,-0.006873097,0.22084059,0.77915941
166,0.023664266,-0.021230365,0.06049162,0.93950838
167,0.31139639,0.21548264,0.30312381,0.30312381
168,0.18833662,-0.01553886,0.078906809,0.92109319
169,0.13743936,-0.0064481,0.13956697,0.86043303
170,0.55637997,0.18490147,0.25624277,0.74375723
171,0,0,-1,-1
172,0.070234375,0.001040583,0.19619764,0.80380236
173,0.021097596,0.004625937,0.49638082,0.50361918
174,0.44314248,-0.01590927,0.11124866,0.88875134
175,0,0,-1,-1
176,0,0,-1,-1
177,0.26855758,0.23211169,0.19979875,0.19979875
178,0.061023669,0.064737153,0.15918694,0.15918694
179,0.062541209,0.04063255,0.35998476,0.35998476
180,0.15644168,0.10285495,0.41865083,0.41865083
181,0.10886364,0.048016701,0.39580721,0.60419279
182,0.51313502,0.10796941,0.45073663,0.45073663
183,0.16726155,-0.009013883,0.12290871,0.87709129
184,0.19216121,0.22884809,0.097158816,0.097158816
185,0.038615702,0.011235955,0.46794911,0.46794911
186,0,0,-1,-1
187,0.019885922,-0.005736636,0.27170825,0.72829175
188,0.57100114,0.2521749,0.34229081,0.65770919
189,0.023094653,-0.004561529,0.28653131,0.71346869
190,0.53421122,0.60552737,0.012099133,0.012099133
191,0.22831746,0.15322581,0.35079937,0.35079937
192,0,0,-1,-1
193,0.019885922,-0.005736636,0.27170825,0.72829175
194,0.11579398,0.020035433,0.25139278,0.74860722
195,0.28358522,0.17659851,0.39178345,0.39178345
196,0.083220159,0.060240964,0.35712242,0.35712242
197,0.059374298,0.024919216,0.47563679,0.52436321
198,0.39522577,-0.018601139,0.073154657,0.92684534
199,0,0,-1,-1
200,0.066660355,0.069450362,0.16431566,0.16431566
201,0.46794937,-0.012236962,0.16929119,0.83070881
202,0.032170324,-0.001613243,0.31661403,0.68338597
203,0.49973739,-0.020955574,0.073331238,0.92666876
204,0.10261925,0.12059478,0.12787438,0.12787438
205,0.10261925,0.12059478,0.12787438,0.12787438
206,0.02811927,0.004241567,0.44869634,0.55130366
207,0.15328337,0.1011236,0.41052237,0.41052237
208,0.39283021,0.46404717,0.028871705,0.028871705
209,0.49973739,-0.020955574,0.073331238,0.92666876
210,0.054013304,0.002267574,0.27595239,0.72404761
211,0.11307692,0.020408163,0.25300723,0.74699277
212,0.37508776,0.10077375,0.47972591,0.52027409
213,0.02509083,0.015342182,0.31877629,0.31877629
214,0.50319225,-0.007278916,0.16299875,0.83700125
215,0.039316116,0.028850702,0.2353713,0.2353713
216,0.15553148,0.20575941,0.055413845,0.055413845
217,0.058483516,-0.025930101,0.038976649,0.96102335
218,0.026635811,0.014484691,0.34414868,0.34414868
219,0.38580061,0.005519662,0.2150533,0.7849467
220,0.47446515,0.091391267,0.39285062,0.39285062
221,0,0,-1,-1
222,0,0,-1,-1
223,0.039274047,-0.000616143,0.31568117,0.68431883
224,0.37307041,0.23971052,0.29597794,0.29597794
225,0.36245239,0.060106452,0.3859304,0.6140696
226,0.14885926,0.068471338,0.41589709,0.58410291
227,0.062654321,0.000816327,0.20555297,0.79444703
228,0.49955177,-0.018525394,0.08963146,0.91036854
229,0.023212963,-0.005185481,0.27397577,0.72602423
230,0.078976752,0.040357174,0.48683776,0.51316224
232,0.20978049,0.019082552,0.24708802,0.75291198
233,0.042616197,0.010884498,0.49798248,0.50201752
234,0.078211821,0.03579457,0.4525288,0.5474712
235,0.11374545,0.050511509,0.39619171,0.60380829
236,0.021379618,-0.004764532,0.2881225,0.7118775
237,0.08794938,-0.010404469,0.11896591,0.88103409
238,0.4494,0.50155763,0.032260791,0.032260791
239,0.019885922,-0.005736636,0.27170825,0.72829175
240,0.14026144,-0.21621622,6.85E-57,1
241,0.077586135,-0.039704664,0.005752138,0.99424786
242,0.061131077,0.020414503,0.40112595,0.59887405
243,0,0,-1,-1
244,0.64196272,0.5078209,0.37146572,0.37146572
245,0.45531103,0.029523956,0.38963155,0.61036845
246,0.1290364,0.15871688,0.09875746,0.09875746
247,0.55445982,0.20208221,0.33591269,0.66408731
248,0.13265934,0.16500994,0.096960803,0.096960803
249,0,0,-1,-1
251,0.23436085,-0.010107105,0.11751132,0.88248868
252,0.13021194,0.16631185,0.080951617,0.080951617
253,0.061023669,0.064737153,0.15918694,0.15918694
254,0.094302536,0.019498607,0.26617609,0.73382391
255,0.41809007,0.08841938,0.47921521,0.52078479
256,0.12926256,0.11259383,0.26240732,0.26240732
257,0.043808041,0.018087855,0.4037199,0.4037199
258,0.3837037,0.42766296,0.059564279,0.059564279
259,0.50325408,0.071511302,0.49234766,0.49234766
260,0.36966135,0.42277084,0.048943742,0.048943742
261,0.10837265,-0.001693193,0.16028697,0.83971303
262,0.084649157,0.042374463,0.47066171,0.52933829
263,0.29000942,0.35973041,0.035251959,0.035251959
264,0.20462149,-0.034282206,0.011922873,0.98807713
265,0.18346143,-0.023552409,0.04360232,0.95639768
266,0.70088906,0.57039709,0.34998335,0.65001665
267,0.10004357,0.12195122,0.11525555,0.11525555
268,0.2460989,0.24983255,0.15189561,0.15189561
269,0.1084407,0.11592633,0.17272226,0.17272226
270,0.036175697,-0.002053941,0.29735864,0.70264136
271,0,0,-1,-1
272,0.05422476,0.031807603,0.35625126,0.35625126
273,0,0,-1,-1
274,0.044958449,0.043213269,0.1598473,0.1598473
275,0.089780878,-0.030618378,0.021261447,0.97873855
276,0.46254201,-0.1120085,1.10E-14,1
277,0.020140825,0.006991999,0.4461862,0.4461862
278,0.1476993,0.023272925,0.26984571,0.73015429
279,0.093333333,0.058823529,0.43651171,0.43651171
280,0.042742105,0.017362394,0.40318184,0.40318184
281,0.06478611,-0.021309449,0.059659277,0.94034072
282,0.093554521,-0.00746592,0.13461843,0.86538157
283,0.04975907,0.00894431,0.4047147,0.5952853
284,0.17964992,0.1501086,0.25540616,0.25540616
285,0.4676,0.52095808,0.023057334,0.023057334
286,0.10082319,0.046353007,0.41536738,0.58463262
287,0.039677354,0.009554788,0.4965269,0.5034731
288,0.092145692,0.01088314,0.22704942,0.77295058
289,0,0,-1,-1
290,0.019885922,-0.005736636,0.27170825,0.72829175
291,0,0,-1,-1
292,0.50294243,0.020467015,0.32190957,0.67809043
293,0.078930481,0.078590786,0.20212645,0.20212645
294,0,0,-1,-1
295,0,0,-1,-1
296,0.41897944,0.011679628,0.25927716,0.74072284
297,0.019885922,-0.005736636,0.27170825,0.72829175
298,0.91385,0.78552279,3.68E-07,0.99999963
299,0.50168941,-0.012394453,0.12962959,0.87037041
300,0.044283769,-0.053809729,0.000248912,0.99975109
301,0.40456967,0.055262975,0.39217396,0.60782604
302,0.15060606,0.15492958,0.19172527,0.19172527
303,0,0,-1,-1
304,0.10407495,0.14322101,0.050210654,0.050210654
305,0.04049982,0.036430521,0.17565142,0.17565142
306,0.12369098,0.14815247,0.11605993,0.11605993
307,0.49456136,-0.012917651,0.14106432,0.85893568
308,0.097254902,0.096774194,0.2096058,0.2096058
309,0.084622967,0.059605794,0.37140998,0.37140998
310,0.19710165,0.22726322,0.117111,0.117111
311,0.039222146,-0.019832021,0.070173366,0.92982663
312,0.22245671,-0.028525704,0.026535251,0.97346475
313,0.067854589,0.075506126,0.14018705,0.14018705
314,0.17356686,0.20580374,0.11140783,0.11140783
315,0.019885922,-0.005736636,0.27170825,0.72829175
316,0.30973649,0.20446819,0.3295396,0.3295396
317,0.54970588,0.59250936,0.029266544,0.029266544
318,0.12600759,0.051199823,0.37383152,0.62616848
319,0.21589264,0.082939987,0.44185307,0.55814693
320,0.062654321,0.000816327,0.20555297,0.79444703
321,0.022269402,0.007370591,0.45101818,0.45101818
322,0.25685207,0.16909405,0.37537736,0.37537736
323,0.49965927,0.20738456,0.22618741,0.22618741
324,0.37867789,0.054612263,0.37953985,0.62046015
325,0,0,-1,-1
326,0.56285977,0.24692296,0.41426609,0.58573391
327,0.21634804,0.24504362,0.11018997,0.11018997
328,0,0,-1,-1
329,0.48810272,0.42864682,0.046451422,0.046451422
330,0.40935765,0.10922632,0.49267655,0.49267655
331,0.46466638,-0.021079988,0.090340538,0.90965946
332,0,0,-1,-1
333,0.061444759,0.025415381,0.46076453,0.53923547
334,0.027228099,-0.014358295,0.12416224,0.87583776
335,0.20819685,0.26163392,0.052460507,0.052460507
336,0.14268121,-0.007234405,0.13822842,0.86177158
337,0.17243635,-0.070016853,2.46E-06,0.99999754
338,0,0,-1,-1
339,0.16730471,0.19109671,0.13268367,0.13268367
340,0.48698006,0.025351997,0.40944748,0.59055252
341,0.49806751,0.000982629,0.23827099,0.76172901
342,0.035553665,-0.019585451,0.071324283,0.92867572
343,0.10222917,0.041369472,0.37371731,0.62628269
344,0.19232323,0.20069204,0.17231526,0.17231526
345,0.024932779,0.009100334,0.43311559,0.43311559
346,0.023581197,0.010511055,0.39544274,0.39544274
347,0.52331058,0.43304737,0.074676367,0.074676367
348,0.14453179,0.10028352,0.3666615,0.3666615
349,0,0,-1,-1
350,0.49783223,-0.008480133,0.16936593,0.83063407
351,0.034727355,-0.007851013,0.20448254,0.79551746
352,0,0,-1,-1
353,0.028326437,0.011524103,0.40762244,0.40762244
354,0.021182692,0.008624603,0.41578897,0.41578897
355,0.023581197,0.010511055,0.39544274,0.39544274
356,0.48728414,-0.019509395,0.097270789,0.90272921
357,0.022145067,-0.007343631,0.23632429,0.76367571
358,0.049859168,0.010933969,0.43269505,0.56730495
359,0.50409835,0.035292945,0.37765945,0.62234055
360,0.41447494,0.023833648,0.30408858,0.69591142
361,0.60419412,0.32351354,0.20967853,0.79032147
362,0.063549383,0.024182833,0.43474523,0.56525477
363,0.48330187,0.04987839,0.48875719,0.48875719
364,0.1473124,0.034005057,0.30587637,0.69412363
365,0.27464063,0.29908403,0.13201873,0.13201873
366,0.18812809,-0.089683075,9.16E-10,1
367,0.035965497,0.0268451,0.23812226,0.23812226
368,0.4002733,0.009470105,0.23838236,0.76161764
369,0.021119808,0.005672764,0.48014756,0.48014756
370,0.087644444,-0.32352941,1.76E-131,1
371,0.35336123,0.077960025,0.42340051,0.57659949
372,0.10665,-0.012658228,0.10093452,0.89906548
373,0.059374298,0.024919216,0.47563679,0.52436321
374,0.019885922,-0.005736636,0.27170825,0.72829175
375,0.46495345,0.20557427,0.27421927,0.27421927
376,0.084283489,0.038219764,0.43586245,0.56413755
377,0.15851309,0.20652986,0.063422342,0.063422342
378,0.059374298,0.024919216,0.47563679,0.52436321
379,0,0,-1,-1
380,0.026672369,0.015835464,0.32212721,0.32212721
381,0.49955177,-0.018525394,0.08963146,0.91036854
382,0.022340252,0.010518643,0.38581414,0.38581414
383,0.43940623,0.32146289,0.16997048,0.16997048
384,0.27536064,-0.005459433,0.15384378,0.84615622
385,0.025012195,-0.008203833,0.21499691,0.78500309
386,0.035553665,-0.019585451,0.071324283,0.92867572
387,0.37306701,-0.028540715,0.029807184,0.97019282
388,0,0,-1,-1
389,0.146546,0.15706052,0.17087826,0.17087826
390,0.17418511,0.085465746,0.43621288,0.56378712
391,0.31126766,0.014920549,0.26073408,0.73926592
392,0.17414769,0.11588367,0.40509724,0.40509724
393,0.27656264,0.23831506,0.19582208,0.19582208
394,0.071229167,0.073413279,0.17281798,0.17281798
395,0.046029199,0.012516783,0.4930158,0.5069842
396,0.27014801,0.33028166,0.058665908,0.058665908
397,0.2064,0.27648579,0.022936582,0.022936582
398,0.078930481,0.078590786,0.20212645,0.20212645
399,0,0,-1,-1
400,0.11455054,0.013689032,0.2280862,0.7719138
401,0.036203442,0.033241094,0.18003768,0.18003768
402,0.16638231,0.20254188,0.095721406,0.095721406
403,0.13841842,0.18553585,0.056110736,0.056110736
404,0.41693684,0.38366842,0.091672631,0.091672631
405,0,0,-1,-1
406,0.019885922,-0.005736636,0.27170825,0.72829175
407,0.13908967,0.04815864,0.34659476,0.65340524
408,0.079320478,0.083121093,0.18226825,0.18226825
409,0.023634259,0.012732615,0.35330686,0.35330686
410,0.193902,0.13141146,0.37837518,0.37837518
411,0.37707096,0.32734385,0.11561931,0.11561931
412,0.52187968,0.070261164,0.3490652,0.6509348
413,0.56996458,0.29324707,0.49835494,0.50164506
414,0.045803429,0.007649369,0.41864174,0.58135826
415,0.21446177,0.1494085,0.33562024,0.33562024
416,0.059096088,0.020328775,0.42477536,0.57522464
417,0.29701111,-0.006864897,0.15021554,0.84978446
418,0.024973745,-0.009756098,0.18979782,0.81020218
419,0.091518116,-0.010332951,0.11761955,0.88238045
420,0.10845041,0.073927914,0.40025704,0.40025704
421,0.51683172,0.17547996,0.3148489,0.3148489
422,0.34429945,0.3967684,0.055346341,0.055346341
423,0.052046875,-0.008706094,0.16046241,0.83953759
424,0.057029885,0.051918736,0.20478331,0.20478331
425,0.23998294,0.13136885,0.45187883,0.45187883
426,0.026348496,0.003738214,0.44663493,0.55336507
427,0,0,-1,-1
428,0.10452936,0.026743576,0.28495157,0.71504843
429,0.17675109,-0.039097041,0.006143515,0.99385649
431,0.064182692,0.068764045,0.15165262,0.15165262
432,0.28011364,0.20941176,0.28178453,0.28178453
433,0.70473158,0.55922365,0.24446913,0.75553087
434,0.45949599,-0.051252175,0.00081436,0.99918564
435,0.35781699,0.006661462,0.21933327,0.78066673
436,0,0,-1,-1
437,0.11686029,0.059605794,0.44620416,0.55379584
438,0.13638979,0.15896641,0.13514925,0.13514925
439,0.49356854,-0.006164282,0.19909057,0.80090943
440,0.20660131,0.17431193,0.21123131,0.21123131
441,0,0,-1,-1
442,0.25620233,-0.009612025,0.12171596,0.87828404
443,0.043492105,0.034307497,0.2173904,0.2173904
444,0.16394984,0.001282169,0.18119938,0.81880062
445,0.56171531,0.2098291,0.28025578,0.71974422
446,0.54205227,0.13455902,0.27491733,0.72508267
447,0,0,-1,-1
448,0.21,0.18181818,0.20123017,0.20123017
449,0.35703704,0.25311203,0.25714531,0.25714531
450,0,0,-1,-1
451,0.4615942,0.32307692,0.14793416,0.14793416
453,0.12069342,0.08947202,0.34229411,0.34229411
454,0.030823413,0.026713872,0.2109202,0.2109202
455,0.086873684,0.083969466,0.21305841,0.21305841
456,0.30738093,-0.000745445,0.18675913,0.81324087
457,0.10165062,0.12278713,0.11627405,0.11627405
458,0,0,-1,-1
459,0.33398762,-0.082737487,2.20E-08,0.99999998
460,0.18795914,0.030541614,0.2670403,0.7329597
461,0.27897537,0.06558814,0.38605761,0.61394239
462,0.039579712,0.007111369,0.4536417,0.5463583
463,0.76741386,0.67097284,0.29872752,0.70127248
464,0,0,-1,-1
465,0.17992661,0.063112876,0.36838784,0.63161216
466,0.070129026,-0.001327627,0.1802798,0.8197202
467,0.67362333,0.49831595,0.29169998,0.70830002
468,0.49982649,-0.019797618,0.080651773,0.91934823
469,0.59201429,0.49055283,0.19498422,0.19498422
470,0.076831956,0.053424166,0.36411524,0.36411524
471,0.53838525,0.14015693,0.34729691,0.65270309
472,0.068052847,0.027703307,0.44693861,0.55306139
473,0.049764434,0.062248611,0.095371104,0.095371104
474,0.078319728,-0.018751749,0.071599903,0.9284001
475,0.063431167,0.022364217,0.41391242,0.58608758
476,0.10486105,-0.023696682,0.045063222,0.95493678
477,0.064322248,0.070784486,0.14136112,0.14136112
478,0.085433031,0.084582441,0.20108824,0.20108824
479,0.16518933,0.093829744,0.49795973,0.49795973
480,0.021182692,0.008624603,0.41578897,0.41578897
481,0.37398964,0.19430106,0.36952356,0.36952356
482,0.46623298,-0.012002169,0.17013137,0.82986863
483,0.14596626,0.086451121,0.46662117,0.46662117
484,0.12762527,0.04950495,0.36346353,0.63653647
485,0,0,-1,-1
486,0.11406459,0.1595151,0.047261727,0.047261727
487,0.21236033,0.024176847,0.26851275,0.73148725
488,0.066660355,0.069450362,0.16431566,0.16431566
489,0.039922123,0.0435925,0.12348193,0.12348193
490,0.19269114,0.039975091,0.30240232,0.69759768
491,0.10610127,0.053424166,0.45025896,0.54974104
492,0.11307692,0.020408163,0.25300723,0.74699277
493,0,0,-1,-1
494,0.17563765,0.13955885,0.28554278,0.28554278
495,0.026241324,-0.004661042,0.27553338,0.72446662
496,0.48994452,-0.020942932,0.084162585,0.91583742
497,0.53690735,0.11777023,0.29677608,0.70322392
498,0.74573333,0.69962453,0.25012708,0.25012708
499,0.70116851,0.6447644,0.22541511,0.22541511
500,0,0,-1,-1
501,0.030723443,0.023546945,0.2440421,0.2440421
502,0.44853333,0.31034483,0.17469082,0.17469082
503,0.035798913,0.022316684,0.28817371,0.28817371
504,0,0,-1,-1
505,0.044524457,-0.085545723,4.94E-09,1
506,0.02789391,-0.039653449,0.004077078,0.99592292
508,0.070137965,0.010309278,0.26465764,0.73534236
510,0.19635,0.14438503,0.31814567,0.31814567
511,0.27464063,0.29908403,0.13201873,0.13201873
512,0.13416667,0.079283887,0.47051143,0.47051143
513,0,0,-1,-1
514,0.12369098,0.14815247,0.11605993,0.11605993
515,0.021141346,0.006685769,0.45770072,0.45770072
516,0,0,-1,-1
517,0.75164375,0.59793383,0.035030017,0.96496998
518,0.50440007,0.004651368,0.23555196,0.76444804
519,0.49474999,-0.020920799,0.07953206,0.92046794
520,0.588,0.66666667,0.009676559,0.009676559
521,0.045626216,0.003795066,0.35780551,0.64219449
522,0.035798913,0.022316684,0.28817371,0.28817371
523,0,0,-1,-1
524,0.22951923,0.26803519,0.093058213,0.093058213
525,0.049859168,0.010933969,0.43269505,0.56730495
526,0.078319728,-0.018751749,0.071599903,0.9284001
527,0.1645696,0.17056371,0.18797245,0.18797245
528,0.045164835,-0.32846715,3.22E-136,1
529,0.50168941,-0.012394453,0.12962959,0.87037041
530,0.076887681,-0.018663001,0.071912082,0.92808792
531,0.34096873,0.057761234,0.37915209,0.62084791
532,0.048873982,0.045163409,0.17783044,0.17783044
533,0.092769231,0.03880597,0.39244901,0.60755099
534,0,0,-1,-1
535,0.52471342,0.093157812,0.38709347,0.61290653
536,0.020158597,0.007867446,0.42694457,0.42694457
537,0,0,-1,-1
538,0,0,-1,-1
539,0.020158597,0.007867446,0.42694457,0.42694457
540,0,0,-1,-1
541,0.16701923,0.088082902,0.46567542,0.53432458
542,0.098484718,0.05586919,0.49676087,0.49676087
543,0.053603693,0.020589872,0.48255931,0.48255931
544,0.17175944,0.093198992,0.47420976,0.52579024
545,0.039677354,0.009554788,0.4965269,0.5034731
546,0.019885922,-0.005736636,0.27170825,0.72829175
547,0.15089085,0.16644777,0.15772729,0.15772729
548,0.54190335,0.23864609,0.39855458,0.39855458
549,0.50294243,0.020467015,0.32190957,0.67809043
550,0.2460989,0.24983255,0.15189561,0.15189561
551,0.15156238,-0.19277108,8.40E-45,1
552,0.47171752,-0.017594422,0.12216535,0.87783465
553,0.38939242,0.28382409,0.22813739,0.22813739
554,0,0,-1,-1
555,0.47590043,-0.019565811,0.10441908,0.89558092
556,0.23741428,0.29048414,0.064759838,0.064759838
557,0.48698006,0.025351997,0.40944748,0.59055252
558,0.076887681,-0.018663001,0.071912082,0.92808792
559,0.02056615,-0.007202912,0.24240411,0.75759589
560,0,0,-1,-1
561,0.481024,-0.015804701,0.13410865,0.86589135
562,0.49973739,-0.020955574,0.073331238,0.92666876
563,0.21366935,0.23910172,0.11613609,0.11613609
564,0.23325,0.27974277,0.076848778,0.076848778
565,0.042396053,0.009341734,0.47411722,0.52588278
566,0,0,-1,-1
567,0.15492188,0.11891074,0.31687856,0.31687856
568,0.10577144,0.031945006,0.3068426,0.6931574
569,0.066271739,-0.010332951,0.1236743,0.8763257
570,0.16638231,0.20254188,0.095721406,0.095721406
572,0.080969598,0.01458866,0.26281717,0.73718283
573,0.28740333,0.11217194,0.48076489,0.51923511
574,0.32116105,0.22376988,0.28635843,0.28635843
575,0.067025334,0.064068046,0.20035746,0.20035746
576,0.20085082,0.02762824,0.26557887,0.73442113
577,0.15272115,0.18554429,0.10157543,0.10157543
